servicio_id,nombre_servicio,costo_papel,costo_tinta,costo_luz,costo_internet,costo_desgaste_impresora,costo_mano_obra,costo_total,margen_ganancia_pct,precio_minimo_usd,precio_sugerido_usd,precio_actual_usd,alerta
SRV-IMP-BN-CARTA,Impresion blanco y negro carta bond,0.018,0.010,0.002,0.010,0.006,0.020,0.066,40,0.092,0.250,0.250,OK
SRV-IMP-COLOR-CARTA,Impresion color carta bond,0.018,0.055,0.003,0.010,0.008,0.025,0.119,40,0.167,0.350,0.350,OK
SRV-COP-BN-CARTA,Copia blanco y negro carta bond,0.018,0.010,0.002,0.008,0.006,0.018,0.062,40,0.087,0.250,0.250,OK
SRV-COP-COLOR-CARTA,Copia color carta bond,0.018,0.055,0.003,0.008,0.008,0.022,0.114,40,0.160,0.350,0.350,OK
SRV-OPALINA-CLIENTE,Impresion en opalina aportada por cliente,0.000,0.075,0.003,0.010,0.010,0.030,0.128,40,0.179,0.350,0.350,OK
SRV-FOTO-CARNET-4,Cuatro fotos tipo carnet,0.180,0.120,0.004,0.010,0.015,0.060,0.389,40,0.545,1.000,1.000,OK
SRV-LUSTRILLO-CARTA,Hoja papel lustrillo carta,0.400,0.000,0.000,0.000,0.000,0.020,0.420,40,0.588,0.650,0.650,OK
SRV-CONSTRUCCION-CARTA,Hoja papel construccion carta,0.630,0.000,0.000,0.000,0.000,0.020,0.650,40,0.910,1.000,1.000,OK
